embedding_dim,lstm_units,epochs,lr,dropout,recurrent_dropout,valloss
128,32,3,0.0001,0.2,0.0,0.8623123645782471
256,128,3,0.0001,0.3,0.5,0.865211546421051
128,64,3,0.001,0.3,0.3,0.8739467859268188
128,64,3,0.0001,0.2,0.5,0.8762917995452881
64,256,5,0.001,0.5,0.2,0.8898800015449524
64,128,3,1e-05,0.5,0.2,0.904885995388031
256,128,2,0.0005,0.5,0.2,0.9070253372192383
128,32,3,0.0001,0.5,0.2,0.9119248867034913
64,64,3,1e-05,0.3,0.5,0.9172376036643982
32,256,8,0.0005,0.5,0.3,0.9214629292488098
128,64,3,1e-05,0.5,0.5,0.9390762209892272
32,32,10,1e-05,0.2,0.2,0.9411444544792176
64,128,8,0.0005,0.3,0.5,0.965601897239685
128,256,8,0.0001,0.3,0.3,0.9824735403060914
128,256,8,0.0005,0.5,0.2,1.001229214668274
256,256,5,0.0001,0.5,0.3,1.0122525453567506
256,64,8,0.001,0.3,0.0,1.0944888472557068
256,64,10,0.0005,0.2,0.3,1.2736591577529908
128,32,10,1e-05,0.2,0.0,1.4565096139907836
128,256,15,0.0005,0.2,0.3,1.5232415676116944
