embedding_dim,lstm_units,epochs,lr,dropout,recurrent_dropout,valloss
256,64,5,0.0001,0.3,0.3,0.6876728534698486
32,32,15,0.0001,0.2,0.5,0.7232334613800049
64,32,8,0.0005,0.5,0.2,0.7289089441299439
64,32,10,0.001,0.3,0.2,0.7293871879577637
128,64,5,1e-05,0.5,0.2,0.7321547031402588
32,64,10,0.001,0.2,0.3,0.7328604102134705
128,64,8,0.0005,0.2,0.5,0.7388242721557617
32,64,8,0.001,0.3,0.3,0.7498889684677124
32,64,10,0.0005,0.5,0.2,0.7587016582489013
128,64,5,0.0001,0.3,0.0,0.7641511559486389
256,64,5,0.0005,0.2,0.0,0.7687245368957519
256,128,5,0.0001,0.5,0.3,0.771099305152893
128,32,10,1e-05,0.3,0.2,0.7982191681861878
64,256,8,0.0005,0.5,0.3,0.7983208417892456
64,32,5,0.0005,0.5,0.2,0.7991878271102906
64,64,5,0.001,0.3,0.3,0.8030480980873108
256,64,10,0.001,0.2,0.5,0.8048529386520386
32,256,10,0.0005,0.3,0.3,0.8089948058128357
64,256,5,0.001,0.5,0.2,0.8110497236251831
128,256,5,0.001,0.3,0.3,0.812028443813324
256,256,5,1e-05,0.5,0.2,0.8214420080184937
64,256,5,0.0001,0.5,0.5,0.8264859437942504
32,128,5,1e-05,0.2,0.3,0.8268906712532044
128,256,10,0.0001,0.5,0.5,0.8292232394218445
64,128,5,1e-05,0.5,0.0,0.8307109355926514
32,256,10,0.0001,0.5,0.3,0.8325639247894288
32,32,5,0.0001,0.2,0.3,0.8354137182235718
256,256,10,1e-05,0.5,0.5,0.8358284711837769
256,32,3,1e-05,0.2,0.5,0.8424496650695801
256,64,2,0.0005,0.2,0.0,0.8441234827041626
64,64,8,0.001,0.3,0.0,0.8444808125495911
32,128,8,0.0005,0.3,0.0,0.8447739481925964
128,256,10,1e-05,0.5,0.2,0.8448735237121582
64,256,8,0.0005,0.5,0.5,0.8474829435348511
128,256,5,0.001,0.5,0.5,0.8519944190979004
128,256,8,0.0001,0.2,0.2,0.8527749538421631
32,32,10,0.0005,0.3,0.0,0.8539249300956726
64,256,3,0.0005,0.5,0.0,0.8638368010520935
32,256,8,0.001,0.3,0.2,0.86562020778656
128,64,2,1e-05,0.2,0.0,0.8662705183029175
256,128,10,0.0001,0.2,0.5,0.8668089389801026
64,64,3,0.0005,0.2,0.2,0.8679065108299255
128,128,8,0.0001,0.2,0.2,0.8698945641517639
256,32,2,0.0001,0.3,0.0,0.8713638186454773
256,256,2,0.0005,0.3,0.5,0.8720222353935242
64,32,3,1e-05,0.2,0.2,0.8737610936164856
128,128,15,0.0005,0.3,0.3,0.8789629578590393
32,256,10,0.0005,0.3,0.0,0.8803110361099243
32,128,8,0.0001,0.2,0.0,0.8843710422515869
32,64,3,0.0001,0.2,0.3,0.8855860233306885
256,32,15,0.001,0.5,0.2,0.8881031274795532
32,64,3,0.0001,0.3,0.2,0.8924968123435975
256,64,8,1e-05,0.2,0.2,0.8965523600578308
256,32,15,0.0001,0.5,0.3,0.8971503853797913
256,256,10,0.001,0.5,0.3,0.8990472674369812
32,128,3,1e-05,0.2,0.2,0.9007543563842774
256,256,10,0.0005,0.5,0.0,0.9017326831817628
128,128,2,0.001,0.5,0.3,0.9023401737213135
128,256,2,0.0001,0.5,0.5,0.9030894875526428
256,64,15,0.0005,0.5,0.3,0.9095721960067749
128,128,8,0.0001,0.3,0.2,0.910654628276825
64,256,3,1e-05,0.5,0.2,0.9131609082221985
64,256,2,0.0005,0.2,0.5,0.916153347492218
64,128,2,1e-05,0.3,0.3,0.9180061101913453
128,32,2,1e-05,0.2,0.2,0.9182525634765625
128,128,10,0.0005,0.5,0.0,0.919109296798706
128,256,8,1e-05,0.5,0.0,0.9195424437522888
64,128,2,1e-05,0.2,0.5,0.9244497895240784
64,64,5,0.001,0.2,0.0,0.932719087600708
64,256,15,0.0005,0.5,0.3,0.9329577445983886
32,128,2,0.001,0.2,0.0,0.9366814732551575
64,64,2,0.0005,0.5,0.0,0.9385722279548645
64,32,2,0.001,0.2,0.3,0.9445001602172851
128,32,2,0.0005,0.2,0.5,0.9459469318389893
256,256,10,0.001,0.3,0.3,0.9507960438728332
32,128,15,0.001,0.2,0.3,0.9825351238250732
128,32,2,0.0001,0.5,0.5,0.9832037448883056
32,32,2,0.0001,0.3,0.3,0.9978196263313294
256,32,10,0.001,0.2,0.0,1.0170817494392395
256,64,15,1e-05,0.2,0.2,1.0271497964859009
256,256,15,0.0001,0.5,0.0,1.0817848682403564
64,128,15,0.001,0.5,0.0,1.1062561988830566
